num,wer,werotho,accuracy,f1_score,bleu_score,Rouge 1 r,Rouge 1 p,Rouge 1 f,predict,target,intent
0,0.0,0.00%,100.0,1.0,0.046385961395229026,1.0,1.0,0.999999995,show me my account balance please,show me my account balance please,4
1,0.2,20.00%,80.0,0.8888888888888888,0.050297337187317416,0.8,0.8,0.7999999950000002,can i freeze my card,can I freeze my card,9
2,0.14285714285714285,14.29%,85.71428571428571,0.9230769230769231,0.014057069080467367,0.875,0.875,0.874999995,hello this is robert i have two transactions on my account which i'm not i don't recognize the last five or six transactions in the last 72 hours,hello this is Robert I have two transactions on my account which I'm not I don't recognize the last five or six transactions in the last 72 hours,12
3,0.045454545454545456,4.55%,95.45454545454545,0.9767441860465116,0.017303427708360557,0.9473684210526315,0.9473684210526315,0.9473684160526316,hello i just ate only lost my card at the airport will you be able to stop listen to increase the card,hello I just ate only lost my card at the airport will you be able to stop listen to increase the card,9
4,0.0,0.00%,100.0,1.0,0.046385961395229026,1.0,1.0,0.999999995,add someone to my account please,add someone to my account please,11
5,0.07692307692307693,7.69%,92.3076923076923,0.96,0.02545962245882211,0.9230769230769231,0.9230769230769231,0.9230769180769233,i was hoping that you can help me with my most recent transactions,I was hoping that you can help me with my most recent transactions,12
6,0.07894736842105263,7.89%,92.10526315789474,0.958904109589041,0.011382388755452917,0.9285714285714286,0.9285714285714286,0.9285714235714286,i'm hoping you can help me i have a card with your bank and i decide to use it and it's being with you help me with this is appendix wind is there a problem with the balance,I'm hoping you can help me I have a card with your bank and I decide to use it and it's being with you help me with this is appendix wind is there a problem with the balance,6
7,0.2631578947368421,26.32%,73.68421052631578,0.8484848484848485,0.018104161201317862,1.0,0.8823529411764706,0.9374999950195313,can you please help me with my card it does not work it repeated the pay it was declined,can you please help me with my card it does not work it repeated it was declined,6
8,0.06666666666666667,6.67%,93.33333333333333,0.9655172413793104,0.022931937521669287,0.9285714285714286,0.9285714285714286,0.9285714235714286,i tried to make a payment with my card and the card won't go through,I tried to make a payment with my card and the card won't go through,6
9,0.2857142857142857,28.57%,71.42857142857143,0.8333333333333334,0.03798782783532137,0.7142857142857143,0.7142857142857143,0.7142857092857143,can i use my card in japan,can I use my card in Japan,0
10,0.09090909090909091,9.09%,90.9090909090909,0.9523809523809523,0.028747978728803456,0.9090909090909091,0.9090909090909091,0.9090909040909091,i would like to know what my current account balance shows,I would like to know what my current account balance shows,4
11,0.0,0.00%,100.0,1.0,0.04132153726455827,1.0,1.0,0.999999995,please show me my current account balance,please show me my current account balance,4
12,0.13333333333333333,13.33%,86.66666666666667,0.9285714285714286,0.022510989169234545,0.8571428571428571,0.8571428571428571,0.8571428521428571,hello my wallet was stolen and i'd like to put a block on my card,hello my wallet is stolen and I'd like to put a block on my card,9
13,0.0,0.00%,100.0,1.0,0.07801157731069054,1.0,1.0,0.999999995,change my address,change my address,1
14,0.1111111111111111,11.11%,88.88888888888889,0.9411764705882353,0.03322997291602712,0.8888888888888888,0.8888888888888888,0.888888883888889,i was calling to ask about a business loan,I was calling to ask about a business loan,5
15,0.42105263157894735,42.11%,57.89473684210527,0.7333333333333333,0.01704490442349666,0.9166666666666666,0.6470588235294118,0.7586206848038051,i would like to set up a joint account with my partner how do i proceed with doing that,I would like to set up a joint account with my partner,11
16,0.16666666666666666,16.67%,83.33333333333334,0.9090909090909091,0.04431913247454159,0.8333333333333334,0.8333333333333334,0.8333333283333335,i'd like to make a deposit,I'd like to make a deposit,7
