transcription,intent_class
hi there i wanted to inquire about black sabbath and see how i want to tell me my direct debit,8
how can i deposit cash to my account,7
i would like to set up a joint account with my partner,11
how do i go about setting up a joint account for my wife and i,11
hi i'm going to be leaving the country and i'm going abroad i need to make sure that my card will work or anything that i need to do to make sure does it stop working,0
how can my wife and i set up a joint account,11
i have a transaction i don't recognize could you please tell me who the payment came from,12
hello i need to change my address since i moved,1
hi i need to freeze my card please,9
freeze my card,9
i need your bank online using the app and i want to pay my credit card bill it's due to do help me use the app to get that done thank you,13
hello i was calling to see if i was able to open up a new business loan,5
good morning i'm trying to use the android app to access my account information and it says that i have no accounts to service online,2
read card all transaction,9
hello how would i go about setting up a joint account with my partner,11
hello i just ate only lost my card at the airport will you be able to stop listen to increase the card,9
i would like to see my most recent transactions,12
i was hoping you could help me i have a card from a bank,6
why do i keep getting these text messages i just want to pay off my balance,10
i have a question about direct debit,8
i would like to get a business loan for a new business,5
i have a question about direct debit,8
hello i'm calling about my account balance,4
the app is not working and i can't access any of my account information,2
what is my account balance,4
i need to pay though,13
deposit money into my account how can i do that,7
hello i would like to withdraw money from the atm and i was wondering how much money can i withdraw,3
what is my limit at the atm,3
hi i'm calling from snyder hardware and i need to discuss a business loan it is an existing loan that i need to have a tree figured help please let me know thank you,5
hi there i'm trying to make a large payment with the car and getting text messages from where i'm supposed to enter the code can you please help me out,10
hi i was calling to see my recent transaction history,12
hi i'm having issue with your app coming up on my phone and being able to walk again,2
hello is what day would you like debit far,8
hello i'm trying to get in touch with someone about my bank card not working,6
explain to me how direct debits work,8
i'd like to put some money into my checking account please,7
hello jess i have a few questions i'm depositing money into the account i was wondering if i could deposit some money and i'm i'm not quite sure where where can i deposit money and how do i transfer money into the account,7
what is my current bank balance,4
i want to change my address to something else i have moved and i no longer at that particular address so again i'm calling about getting a new address for updating my address rather,1
i'm hoping you can help me i have a card with your bank and i decide to use it and it's being with you help me with this is appendix wind is there a problem with the balance,6
freeze my card immediately cease all purchases,9
can you help me fix my card i'm trying to get cash back and it won't let me and i know i have money in there,6
freeze my debit card i want to stop at all transactions coming in please lock my car,9
oh yeah hi i need fastest topical transactions on my card freeze my card block my card or something,9
i wanted to pay a large amount but i wanted to also verify that the confirmation code that i'm receiving via text message is actually coming from the bank,10
i need to change my address can i do that here thank you,1
hello can you show me my direct debits please,8
how can i use a direct debit,8
hello i'm trying to use your app for your bank service and for some reason doesn't seem to load whenever i'm trying to check my,2
i'm trying to make a purchase on amazon but my card keeps declining,6
could you tell me about direct debit please,8
my card has been declined,6
i am attempting to make a highvalue purchase could you please tell me how i use the sms code,10
hello i'm calling to pay for my electric and water bill or can i make this payment,13
i need to freeze my card,9
can i use my card in japan,0
hey i am trying to create a business and i would like to,5
would you like to deposit money into my account,7
hello i'd like to set up a joint account was my partner how do i do that,11
the mobile app keeps crashing on my phone,2
hi i'm trying to make a large purchase online and it's saying that i'm going to receive an sms message code and i'm not sure what to do,10
please show me my current account balance,4
how much money can i withdraw at the atm,3
card work abroad,0
what number are you sending my high payment sms code to,10
what's the most amount of money i can withdraw at one time and during an entire day from an atm machine,3
how much money can you withdrawal,3
i just tried using my card and it doesn't let me pay with something wrong you please help me figure out what's wrong with my car,6
can you tell me about direct debit,8
can i set up a joint account,11
how do i confirm a large email with a text message,10
i was hoping that you can help me with my most recent transactions,12
what is the most money i can withdraw at one time from an atm,3
what is my account balance,4
mobile payments that i don't know can you show me all of my recent transactions,12
hi yes i like to change my address,1
the app is malfunctioning,2
i've been questioned document my last five transactions,12
how would i go about doing a direct debit,8
hello my wallet is stolen and i'd like to put a block on my card,9
hi i've lost my bank card and please stop all transactions i don't want anybody using my card for anything i don't know where it is can you do this for me thank you,9
what is my daily atm withdrawal limit,3
can you help me with my debit card is declining purchases but i know i have a balance in my account,6
i'm trying to pay a large amount of money and i need to get your code sent to my phone,10
i'm usually asleep use the app for my big services and today it's not working any help me access my account,2
how much information about signing up for a joint account,11
epic to make a payment on the bill,13
i want to change my address,1
hi so i'm using your app on my phone and the app isn't working properly so i was wondering if you guys could help me,2
how much cash can i pull out at your atm,3
hi i'm just calling because the after that usually used my bank is not working properly as soon as i open the app it just my account balance at whenever i am able to get on the app it's only my account balance wrong i am,2
can you tell me what my current account balances,4
what are my most recent transactions,12
i'd like to set up a joint account,11
how do i set up a joint account,11
what's the maximum amount i can withdraw from an atm,3
like to see my account balance,4
i'm making a large payment on my account what do i do with it,10
can i use my card in another country,0
my card is continuously being declined and not working,6
hi i was wondering why my cards not working because my payment is declined,6
i would like to withdraw money from an atm and i'm wondering what the maximum amount of money i can withdraw at one time is,3
where can i want to where can i go if i want to deposit cash into my account,7
cycling to find out what my opinion is for withdrawals is on my account,3
somaya my internet bill due and i need to make a payment through this,13
hi good morning to you don't like to make a complaint i've been trying to look up my house i don't know why thank you,2
hi yes i want to change my address,1
karma credit card bill today,13
could you please tell me how to set up a joint account,11
hello i would like to take alone,5
oh yes i'm going to japan for a couple of weeks on vacation and i wanted to know if i can use my card,0
i'm calling to inquire about a business loan,5
how to set up a joint account,11
i need to pay my credit card bill,13
i would like to be showing my account balance please,4
i need to change my address,1
yeah i there i was just calling to figure out how i can i see deposit money into the account,7
i have a question about my direct debits can you give me more information,8
i like to find out how to look at my direct debit,8
how do i create a joint account,11
account balance,4
i'd like to apply for a new business,5
transfer money to the account,7
how do i start a joint account,11
i'm leaving for amsterdam this weekend and i want to know if i can use my wells fargo credit card charges are there,0
how can i make a deposit,7
hey honey can you tell me how much money i have in my account like what's the balance,4
it's not working now i cannot get into my account,2
i'd like to figure out how to set up direct deposit into my account,8
i'm calling about a news this thing business phone,5
hey i need to pay a bill my electricity bill is up and i already moved all the money over to my primary checking you can just take it from there to the bill passed eat near me,13
i was calling to ask about a business loan,5
i need my card abroad can i pay for things i'm stamps hi yes i'm going on vacation for a few weeks and wanted to ask if i have to do it,0
open up a joint account with my partner,11
i want to apply for a business loan,5
yes hello i'd like to change my address please,1
hi i'm going to be going abroad and i'd like to know if i can use my card in england while i'm there and work if i have to do anything special to activate it,0
set up a joint account,11
can i have an account with my sister i want to set up a joint account,11
hi i was just using the banking app that you guys have on my phone and it's not loading up it's saying that it can't access my account and then it won't go through the help me with this,2
can you tell me what my current account balance is please,4
i would like to pay bill and make a payment,13
i'd like to change my address,1
yes or no i'm going to because i would like to set up a joint account with my wife,11
there has been an issue with my card and i would like to breathe,9
hi i need to change my address,1
i'd like some information about a business loan,5
the app does not load,2
hi i want to deposit money into my savings account,7
i have a question about a business loan,5
the app isn't working correctly am i able to access my bank account,2
i'm having an issue with my card,6
show me my account balance,4
i'm at the atm now and truth about my limit i want to make sure i know my atm withdrawal limit so that i don't encourage fees,3
i need to place a freeze on my card i have reason to believe that it has been stolen or i have misplaced it,9
yes i'm going to be traveling to the united kingdom for a couple of weeks next month i need to know if i can use my card from from my bank account while i'm in europe,0
can you help me figuring out how to deposit money into my account,7
having trouble with the app i'm not able to see my account balance and when i try to click on it it crashes,2
i lost my card and need to freeze my account,9
hi wanted to deposit a check that i received from work today or can i deposit it,7
hi i'm going to be traveling abroad in japan and i just wondered if i'm going to be able to use my bank card when i'm there if you could let me know that would be great thank you,0
i'm trying to make the payment right now a very high,10
i need help figuring out what's wrong with my card,6
hello yes i would like to make a payment,13
can you tell me how i can deposit money into my bank account,7
hey i'm calling to ask about my current account balance,4
i'd like some information about a business loan,5
hi there i'm just calling to inquire about getting a new business loan and howard,5
i would like to make a payment,13
i would like to inquire about direct debit,8
i'd like to check my recent transactions for any weird activity,12
i'm having trouble with my car approved,6
good morning i'm trying to use my atm debit card and it is coming up i was wondering if you tell me why i have enough money in the account to cover the charges,6
i am traveling out of my car,0
i'm planning to go to the uk on the 16th and come back on the 24th i was wondering if my car,0
tell me about recent transactions on my card,12
my card is not working it will not pay,6
please show my direct debits,8
how do i set up a joint account,11
see the security hold put on my card,9
how much money would i be able to withdraw the atm,3
help me make a deposit into my account please,7
i need to know my account balance,4
i want to make an online bill payment,13
going on vacation for a few weeks and wanted to ask,0
like this christmas going on vacation and they're trying to get everything figured out before they go,0
what is the maximum amount that i can withdraw from the atm,3
deposit money into account,7
hi i am traveling in italy right now and i'm just trying to figure out if my,0
i would like you to freeze all transactions on my card please,9
